"Entity,Code,Year,""Terrorism fatalities (GTD, 2018) (deaths)"""
Colombia,COL,1970,0
Colombia,COL,1971,0
Colombia,COL,1972,1
Colombia,COL,1973,0
Colombia,COL,1974,1
Colombia,COL,1975,7
Colombia,COL,1976,10
Colombia,COL,1977,38
Colombia,COL,1978,71
Colombia,COL,1979,156
Colombia,COL,1980,159
Colombia,COL,1981,365
Colombia,COL,1982,368
Colombia,COL,1983,437
Colombia,COL,1984,485
Colombia,COL,1985,935
Colombia,COL,1986,771
Colombia,COL,1987,655
Colombia,COL,1988,1096
Colombia,COL,1989,751
Colombia,COL,1990,694
Colombia,COL,1991,742
Colombia,COL,1992,631
Colombia,COL,1994,218
Colombia,COL,1995,521
Colombia,COL,1996,611
Colombia,COL,1997,1230
Colombia,COL,1998,592
Colombia,COL,1999,262
Colombia,COL,2000,426
Colombia,COL,2001,576
Colombia,COL,2002,356
Colombia,COL,2003,184
Colombia,COL,2004,83
Colombia,COL,2005,145
Colombia,COL,2006,79
Colombia,COL,2007,64
Colombia,COL,2008,85
Colombia,COL,2009,107
Colombia,COL,2010,56
Colombia,COL,2011,43
Colombia,COL,2012,168
Colombia,COL,2013,137
Colombia,COL,2014,143
Colombia,COL,2015,104
Colombia,COL,2016,52
Colombia,COL,2017,84
